Type,date,visitation,placekey
American,2020-02,28,803
American,2020-02,29,685
American,2020-02,30,569
American,2020-02,31,553
American,2020-02,32,491
American,2020-02,33,441
American,2020-02,34,394
American,2020-02,35,325
American,2020-02,36,284
American,2020-02,37,300
American,2020-02,38,281
American,2020-02,39,250
American,2020-02,40,259
American,2020-02,41,205
American,2020-02,42,192
American,2020-02,43,158
American,2020-02,44,165
American,2020-02,45,115
American,2020-02,47,126
American,2020-02,48,129
American,2020-02,49,103
American,2020-02,50,88
American,2020-02,51,92
American,2020-02,52,95
American,2020-02,53,85
American,2020-02,56,65
American,2020-02,57,65
American,2020-02,59,50
American,2020-02,63,53
American,2020-02,64,31
American,2020-02,65,43
American,2020-02,66,31
American,2020-02,68,29
American,2020-02,69,35
American,2020-02,71,26
American,2020-02,75,26
American,2020-02,77,23
American,2020-02,78,20
American,2020-02,79,14
American,2020-02,81,16
American,2020-02,89,21
American,2020-02,92,11
American,2020-02,95,10
American,2020-02,100,9
American,2020-02,125,7
American,2020-02,208,1
American,2020-02,259,2
American,2020-03,2,670340
American,2020-03,3,182526
American,2020-03,4,73266
American,2020-03,5,84060
American,2020-03,6,48841
American,2020-03,7,30193
American,2020-03,8,20078
American,2020-03,9,13744
American,2020-03,10,9982
American,2020-03,11,7320
American,2020-03,12,5467
American,2020-03,13,4308
American,2020-03,14,3413
American,2020-03,15,2797
American,2020-03,16,2271
American,2020-03,17,1907
American,2020-03,18,1527
American,2020-03,19,1301
American,2020-03,20,1082
American,2020-03,21,922
American,2020-03,22,731
American,2020-03,23,699
American,2020-03,24,609
American,2020-03,25,526
American,2020-03,26,440
American,2020-03,27,368
American,2020-03,28,370
American,2020-03,29,322
American,2020-03,30,269
American,2020-03,31,243
American,2020-03,32,219
American,2020-03,33,208
American,2020-03,34,181
American,2020-03,35,153
American,2020-03,36,153
American,2020-03,37,123
American,2020-03,38,125
American,2020-03,39,131
American,2020-03,40,86
American,2020-03,41,90
American,2020-03,43,68
American,2020-03,46,73
American,2020-03,47,50
American,2020-03,51,27
American,2020-03,52,37
American,2020-03,53,34
American,2020-03,54,38
American,2020-03,61,22
American,2020-03,63,23
American,2020-03,64,18
American,2020-03,66,16
American,2020-03,75,9
American,2020-03,160,1
American,2020-03,200,2
American,2020-04,2,319279
American,2020-04,3,87498
American,2020-04,4,34829
American,2020-04,5,36714
American,2020-04,6,20300
American,2020-04,7,12288
American,2020-04,8,7923
American,2020-04,9,5341
American,2020-04,10,3766
American,2020-04,11,2667
American,2020-04,12,2075
American,2020-04,13,1625
American,2020-04,14,1302
American,2020-04,15,1038
American,2020-04,16,853
American,2020-04,17,711
American,2020-04,18,581
American,2020-04,19,506
American,2020-04,20,400
American,2020-04,21,361
American,2020-04,22,322
American,2020-04,23,247
